loss,mae,val_loss,val_mae
0.056742556393146515,0.056742556393146515,0.03033735603094101,0.03033735603094101
0.029134778305888176,0.029134778305888176,0.026566138491034508,0.026566138491034508
0.021809253841638565,0.021809253841638565,0.019314028322696686,0.019314028322696686
0.01969858445227146,0.01969858445227146,0.019049685448408127,0.019049685448408127
0.018908994272351265,0.018908994272351265,0.018623152747750282,0.018623152747750282
0.018290579319000244,0.018290579319000244,0.01809925027191639,0.01809925027191639
0.017630700021982193,0.017630700021982193,0.017358744516968727,0.017358744516968727
0.017151396721601486,0.017151396721601486,0.017216283828020096,0.017216283828020096
0.01698419265449047,0.01698419265449047,0.017066095024347305,0.017066095024347305
0.016864687204360962,0.016864687204360962,0.01689964532852173,0.01689964532852173
0.016688426956534386,0.016688426956534386,0.01702667400240898,0.01702667400240898
0.016605230048298836,0.016605230048298836,0.01695699244737625,0.01695699244737625
0.016545521095395088,0.016545521095395088,0.0167497880756855,0.0167497880756855
0.01649658940732479,0.01649658940732479,0.01696988195180893,0.01696988195180893
0.0164670217782259,0.0164670217782259,0.016860470175743103,0.016860470175743103
0.016429301351308823,0.016429301351308823,0.016590844839811325,0.016590844839811325
0.016378045082092285,0.016378045082092285,0.016833558678627014,0.016833558678627014
0.01633489318192005,0.01633489318192005,0.01677662692964077,0.01677662692964077
0.0163047406822443,0.0163047406822443,0.01663900539278984,0.01663900539278984
