Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss,learning_rate
0.8939421772956848,0.540880560874939,0.652458131313324,1.1654995679855347,0.9164418578147888,0.8939610123634338,0.911253809928894,0.377775639295578,9.999999747378752e-05
0.925428569316864,0.8600809574127197,0.9009987115859985,0.42203158140182495,0.9289951324462891,0.9239056706428528,0.9257070422172546,0.2734217345714569,9.999999747378752e-05
0.9364546537399292,0.8809970021247864,0.9108003973960876,0.3335553705692291,0.9508838057518005,0.9171981811523438,0.9269484281539917,0.23509061336517334,9.999999747378752e-05
0.9407767057418823,0.8897165060043335,0.9163309335708618,0.2904846966266632,0.9522989392280579,0.9182115793228149,0.9279395937919617,0.21438263356685638,9.999999747378752e-05
0.9448826909065247,0.8951460719108582,0.921068549156189,0.2624109089374542,0.9703442454338074,0.9060181379318237,0.9298921227455139,0.19998885691165924,9.999999747378752e-05
0.9537554383277893,0.897616446018219,0.925378143787384,0.24022692441940308,0.9760231971740723,0.9079880714416504,0.9329943656921387,0.1869356781244278,9.999999747378752e-05
0.9605705142021179,0.9022660851478577,0.9288972616195679,0.2241045981645584,0.9762971997261047,0.9121086597442627,0.9458320140838623,0.1760559380054474,9.999999747378752e-05
0.9632657170295715,0.9055913686752319,0.9335202574729919,0.21252192556858063,0.9766928553581238,0.9124976992607117,0.9489119648933411,0.1704971343278885,9.999999747378752e-05
0.9659841060638428,0.9063093066215515,0.9385038614273071,0.20520411431789398,0.9762879014015198,0.9124555587768555,0.9497024416923523,0.1703883409500122,9.999999747378752e-05
0.9651294946670532,0.9089649319648743,0.9395017623901367,0.20019285380840302,0.9762745499610901,0.912745475769043,0.9489367604255676,0.16414161026477814,9.999999747378752e-05
0.962887704372406,0.9135972261428833,0.9408292770385742,0.19644320011138916,0.9534355998039246,0.9482924938201904,0.9490631222724915,0.16506436467170715,9.999999747378752e-05
0.9582459330558777,0.9230594635009766,0.942067563533783,0.19111773371696472,0.9527137279510498,0.9488847255706787,0.9494323134422302,0.1589832305908203,9.999999747378752e-05
0.9565754532814026,0.9262032508850098,0.9424107670783997,0.18767638504505157,0.9520366191864014,0.9490383267402649,0.9493183493614197,0.15758201479911804,9.999999747378752e-05
0.9566192626953125,0.9273318648338318,0.9427960515022278,0.18430373072624207,0.9518356323242188,0.9491870403289795,0.9494372606277466,0.15730145573616028,9.999999747378752e-05
0.9565512537956238,0.9291276931762695,0.9433560371398926,0.181510329246521,0.9515870213508606,0.949375331401825,0.9496380090713501,0.15489892661571503,9.999999747378752e-05
0.9576530456542969,0.9289746880531311,0.9436831474304199,0.17954660952091217,0.9521073698997498,0.9494273662567139,0.9500245451927185,0.14995995163917542,9.999999747378752e-05
0.958446741104126,0.9287424087524414,0.9438008069992065,0.17759563028812408,0.9504923820495605,0.9494372606277466,0.9496380090713501,0.15161821246147156,9.999999747378752e-05
0.9582817554473877,0.9303610324859619,0.9444971084594727,0.17570507526397705,0.9527557492256165,0.9496701955795288,0.9502847194671631,0.14766955375671387,9.999999747378752e-05
0.9581512212753296,0.9307358264923096,0.9444772601127625,0.174202099442482,0.9510474801063538,0.9497395753860474,0.9499105215072632,0.14806729555130005,9.999999747378752e-05
0.9579964280128479,0.9318749904632568,0.9450620412826538,0.1723649799823761,0.9525313973426819,0.9495834708213806,0.9502277374267578,0.14678245782852173,9.999999747378752e-05
